timestamp,open,high,low,close,volume,pair
1592479200,8417.5,8418.5,8401.2,8411.5,14.69836761,BTC/EUR
1592479500,8411.5,8411.7,8407.6,8407.6,3.79545517,BTC/EUR
1592479800,8407.6,8409,8407.6,8409,9.07373197,BTC/EUR
1592480100,8409,8411.3,8408.7,8410.3,7.2545515,BTC/EUR
1592480400,8410.4,8410.4,8403.2,8405.9,12.64222715,BTC/EUR
1592480700,8405.9,8406,8394.2,8403.1,7.87145576,BTC/EUR
1592481000,8403.1,8406.1,8402,8405.4,15.11774402,BTC/EUR
1592481300,8405.4,8405.7,8402.7,8402.8,6.18625528,BTC/EUR
1592481600,8402.9,8407.6,8402.7,8402.8,15.84319075,BTC/EUR
1592481900,8402.8,8408.8,8402.7,8408.8,12.06264237,BTC/EUR
1592482200,8408.7,8411,8408.7,8411,7.8845568,BTC/EUR
1592482500,8411,8412.5,8405,8405,12.41394772,BTC/EUR
1592482800,8405.1,8405.9,8402.6,8405.8,12.44476555,BTC/EUR
1592483100,8405.8,8405.9,8402.5,8404.3,15.23260405,BTC/EUR
1592483400,8405.7,8410,8404.3,8409.5,10.81234438,BTC/EUR
1592483700,8409.4,8410,8406.5,8410,17.61664789,BTC/EUR
1592484000,8410,8413.9,8410,8410.1,13.87603338,BTC/EUR
1592484300,8410.1,8412.8,8410,8410.6,2.70599546,BTC/EUR
1592484600,8410.6,8412.3,8410,8411,3.98217323,BTC/EUR
1592484900,8411,8411,8406.5,8406.7,7.35026625,BTC/EUR
1592485200,8406.8,8406.8,8396.3,8397.5,19.44333323,BTC/EUR
1592485500,8396.1,8397,8386.8,8393.9,13.45411549,BTC/EUR
1592485800,8395.1,8399,8384.5,8390,69.38419652,BTC/EUR
1592486100,8389.9,8390,8379.9,8381.5,57.09484876,BTC/EUR
1592486400,8381.9,8394.3,8381.8,8394.3,14.19172539,BTC/EUR
1592486700,8394.1,8401.3,8394.1,8400.7,12.79322081,BTC/EUR
1592487000,8400.7,8400.7,8385.6,8386.8,19.91393478,BTC/EUR
1592487300,8386.8,8389.5,8362.7,8368,21.26343577,BTC/EUR
1592487600,8366.9,8383.1,8366.8,8383.1,22.9455534,BTC/EUR
1592487900,8383.1,8389.5,8376.8,8389.5,33.2992283,BTC/EUR
1592488200,8389.5,8402.9,8389.5,8402.4,15.52790865,BTC/EUR
1592488500,8402.4,8402.6,8393.2,8393.4,12.35063608,BTC/EUR
1592488800,8393.3,8393.4,8379.8,8385.9,16.46181429,BTC/EUR
1592489100,8385,8395.1,8382.7,8389.4,55.56537388,BTC/EUR
1592489400,8389.4,8392.2,8381.5,8382.6,17.29237807,BTC/EUR
1592489700,8382.6,8394.8,8382.6,8394.8,6.31516042,BTC/EUR
1592490000,8394.8,8396,8393.5,8395.9,7.98382988,BTC/EUR
